Country,nij_lr,nij_lroe,nij_qs,nij_sir,nij_coki,pref_lr,pref_lroe,pref_sir,pref_qs,pref_coki
Mauritius,0,0,0,1,6,0,0,0.73,0,1.38
Mayotte,0,0,0,0,1,0,0,0,0,1.61
Mexico,9,9,19,50,283,0.42,0.42,0.69,0.76,1.23
Micronesia,0,0,0,0,1,0,0,0,0,1.61
Moldova,0,0,0,3,19,0,0,0.7,0,1.39
Monaco,0,0,0,0,1,0,0,0,0,1.61
Mongolia,0,0,0,3,14,0,0,0.9,0,1.33
Montenegro,0,0,0,1,5,0,0,0.85,0,1.35
Montserrat,0,0,0,0,1,0,0,0,0,1.61
Morocco,4,4,6,33,57,0.66,0.66,1.62,0.85,0.88
Mozambique,0,0,0,1,15,0,0,0.32,0,1.51
Multinational,0,0,0,4,0,0,0,5.1,0,0
Myanmar,0,0,0,0,27,0,0,0,0,1.61
Namibia,0,0,0,2,4,0,0,1.7,0,1.08
Nepal,0,0,1,5,33,0,0,0.65,0.38,1.37
Netherlands,13,13,13,21,82,1.57,1.57,0.75,1.35,0.93
New Caledonia,0,0,0,0,2,0,0,0,0,1.61
New Zealand,7,7,8,8,31,1.96,1.96,0.67,1.94,0.82
Nicaragua,0,0,0,0,15,0,0,0,0,1.61
Niger,0,0,0,0,4,0,0,0,0,1.61
Nigeria,2,2,5,40,190,0.14,0.14,0.85,0.31,1.28
Niue,0,0,0,0,1,0,0,0,0,1.61
North Korea,0,0,0,1,4,0,0,1.02,0,1.29
North Macedonia,0,0,0,3,14,0,0,0.9,0,1.33
Northern Mariana Islands,0,0,0,0,1,0,0,0,0,1.61
Norway,7,7,7,21,43,1.41,1.41,1.26,1.22,0.82
Oman,1,1,3,7,24,0.48,0.48,0.99,1.23,1.08
Pakistan,13,13,34,85,191,0.66,0.66,1.29,1.5,0.92
Palestine,0,0,4,8,17,0,0,1.41,2.04,0.95
Panama,0,0,2,2,13,0,0,0.6,1.74,1.23
Papua New Guinea,0,0,0,0,6,0,0,0,0,1.61
Paraguay,0,0,1,1,22,0,0,0.21,0.62,1.48
Peru,0,0,10,36,104,0,0,1.22,0.99,1.12
Philippines,0,0,5,15,178,0,0,0.39,0.37,1.45
Poland,38,38,22,70,221,1.67,1.67,0.92,0.84,0.92
Portugal,9,9,12,42,115,0.82,0.82,1.15,0.95,0.99
Puerto Rico,0,0,1,5,28,0,0,0.75,0.43,1.33
Qatar,2,2,2,4,20,1.14,1.14,0.68,0.99,1.08
Republic of Congo,0,0,0,0,2,0,0,0,0,1.61
Réunion,0,0,0,1,1,0,0,2.55,0,0.81
Romania,8,8,10,35,85,0.94,0.94,1.22,1.01,0.94
Russia,15,15,32,167,634,0.3,0.3,0.99,0.55,1.19
Rwanda,0,0,0,1,10,0,0,0.46,0,1.47
Saint Kitts and Nevis,0,0,0,0,4,0,0,0,0,1.61
Saint Lucia,0,0,0,0,4,0,0,0,0,1.61
Saint Vincent and the Grenadines,0,0,0,0,1,0,0,0,0,1.61
Samoa,0,0,0,0,2,0,0,0,0,1.61
San Marino,0,0,0,0,1,0,0,0,0,1.61
