ror,region,lr,lroe,coki,qs,sir
0013kfc53,Europe,0,0,1,0,0
0013ks972,Europe,0,0,1,0,0
0013qa018,Asia,0,0,1,0,0
0013rer79,Asia,0,0,1,0,0
0013shd50,Europe,0,0,1,0,0
0013xkf77,Europe,0,0,1,0,0
0013zhk30,Europe,0,0,1,0,0
00142p479,Asia,0,0,1,0,0
00145nn26,Asia,0,0,1,0,0
00146qx36,Asia,0,0,1,0,0
00146wx41,Asia,0,0,1,0,0
00147ek89,Oceania,0,0,1,0,0
00147fj93,Asia,0,0,1,0,0
00148fb49,Europe,0,0,1,0,0
0014a0n68,Asia,0,0,1,0,1
0014agb17,Europe,0,0,1,0,0
0014fb593,Europe,0,0,1,0,0
0014n6t23,Europe,0,0,1,0,0
0014sb331,Asia,0,0,1,0,0
0014vc978,Asia,0,0,1,0,0
0014xm371,Europe,0,0,1,0,0
001561737,Europe,0,0,1,0,0
001575385,Africa,0,0,1,0,0
00158bh81,Americas,0,0,1,0,0
0015h8611,Europe,0,0,1,0,0
0015hpp74,Europe,0,0,1,0,0
0015hye09,Asia,0,0,1,0,0
0015qa126,Asia,0,0,1,0,0
0015r4831,Asia,0,0,1,0,0
0015wff52,Americas,0,0,1,0,0
0015ws592,Europe,0,0,1,0,0
0015x1k58,Americas,0,0,1,0,1
00160a123,Africa,0,0,1,0,0
00161f548,Asia,0,0,1,0,0
001641630,Europe,0,0,1,0,0
001695n52,Europe,0,0,1,0,0
00169ff80,Americas,0,0,1,0,0
0016atv87,Asia,0,0,1,0,0
0016by010,Asia,0,0,1,0,0
0016std27,Europe,0,0,1,0,0
0016w2w54,Americas,0,0,1,0,0
0016yxd93,Americas,0,0,1,0,0
00171m316,Americas,0,0,1,0,0
00174r125,Americas,0,0,1,0,0
00178eg98,Europe,0,0,1,0,0
00178zy73,Asia,0,0,1,0,0
0017b9g92,Europe,0,0,1,0,0
0017kmw32,Americas,0,0,1,0,0
0017mh436,Europe,0,0,1,0,0
0017nar98,Americas,0,0,1,0,0
001805t51,Europe,0,0,1,0,0
00183pc12,Europe,0,0,1,0,0
00184ca40,Americas,0,0,1,0,0
00186jw56,Americas,0,0,1,0,0
00186nd07,Asia,0,0,1,0,0
001889b65,Africa,0,0,1,0,0
0018c4h73,Europe,0,0,1,0,0
0018jvy55,Asia,0,0,1,0,0
0018wmh19,Americas,0,0,1,0,0
0018xw886,Europe,0,0,1,0,0
00190j002,Europe,0,0,1,0,0
00190t495,Americas,0,0,1,0,0
00194tb08,Asia,0,0,1,0,0
0019bf448,Americas,0,0,1,0,0
0019g1982,Americas,0,0,1,0,0
0019g5792,Asia,0,0,1,0,0
0019h0z47,Africa,0,0,1,0,0
0019h1k84,Europe,0,0,1,0,0
0019k3g62,Americas,0,0,1,0,0
0019q7242,Europe,0,0,1,0,0
0019se992,Americas,0,0,1,0,0
0019x5d05,Europe,0,0,1,0,0
001a7dw94,Europe,0,0,1,0,0
001ader08,Americas,0,0,1,0,0
001aem118,Americas,0,0,1,0,0
001aevc89,Europe,0,0,1,0,0
001agqs13,Asia,0,0,1,0,0
001ajv156,Europe,0,0,1,0,0
001amd982,Asia,0,0,1,0,0
001aqnf71,Europe,0,0,1,0,1
001av7v52,Europe,0,0,1,0,0
001b17f86,Europe,0,0,1,0,0
001b4cb05,Americas,0,0,1,0,0
001bbwj30,Europe,0,0,1,0,0
001bdsd09,Asia,0,0,1,0,0
